"PG.ProteinGroups","PG.Genes","PG.ProteinDescriptions","pValue","log2FC","log10FC","FDR","log10qValue","Expression"
"P27708","CAD","Multifunctional protein CAD",2.16539072712102e-08,-0.810960015162682,-0.244123289848084,7.4630191410226e-08,7.12708544450719,"Unchanged"
"P27797","CALR","Calreticulin",0.00566263302057073,-0.211203633227688,-0.0635786287947481,0.00993420703820033,2.00286679314178,"Unchanged"
"P27816","MAP4","Microtubule-associated protein 4",6.1445502220149e-08,-0.573753632146873,-0.172717053397367,2.00446685661849e-07,6.69800112030979,"Unchanged"
"P27816-3","MAP4","Isoform 3 of Microtubule-associated protein 4",1.16161360288319e-09,-0.591472158076007,-0.178050861180986,4.63905131209377e-09,8.3335708237658,"Unchanged"
"P27816-5","MAP4","Isoform 5 of Microtubule-associated protein 4",1.64023107954107e-05,-0.550359753524532,-0.16567479421712,4.13688724159408e-05,4.38332631643126,"Unchanged"
"P27816-6","MAP4","Isoform 6 of Microtubule-associated protein 4",0.545258423241478,0.0610000742352712,0.0183628520825463,0.608431641231036,0.215788208730282,"Unchanged"
"P27824","CANX","Calnexin",2.6299130531965e-07,-0.378206632090475,-0.113851540818285,8.02123481224931e-07,6.09575877001181,"Unchanged"
"P27986","PIK3R1","Phosphatidylinositol 3-kinase regulatory subunit alpha",2.64346465884218e-07,-0.305983749809611,-0.092110286878436,8.05900127969888e-07,6.09371877526568,"Unchanged"
"P27987","ITPKB","Inositol-trisphosphate 3-kinase B",0.603709126293502,-0.0422835034434295,-0.0127286028582335,0.663483260130916,0.178170030033129,"Unchanged"
"P28062","PSMB8","Proteasome subunit beta type-8",1.21482441800682e-22,-1.08960052968666,-0.328002442727046,2.32605130925583e-21,20.6333807096072,"Downregulated"
"P28065","PSMB9","Proteasome subunit beta type-9",1.1016633370034e-09,-0.660451111430143,-0.198815595210087,4.41497987323512e-09,8.35507127191945,"Unchanged"
"P28066","PSMA5","Proteasome subunit alpha type-5",0.189211823639472,0.079133981185322,0.0238217020130911,0.239837642579419,0.620082653257393,"Unchanged"
"P28070","PSMB4","Proteasome subunit beta type-4",0.345188311675643,0.0703838666667291,0.0211876550774997,0.408127449807926,0.389204194496022,"Unchanged"
"P28072","PSMB6","Proteasome subunit beta type-6",6.49389216262737e-11,0.43007361281161,0.129465057799872,2.97424575926847e-10,9.52662314896656,"Unchanged"
"P28074","PSMB5","Proteasome subunit beta type-5",5.25178710584373e-07,0.314999860733143,0.0948244067106527,1.5583542195687e-06,5.80733381873082,"Unchanged"
"P28161","GSTM2","Glutathione S-transferase Mu 2",0.000478839494951929,-0.283209240058465,-0.0852544763067991,0.000997473749985992,3.00109852459985,"Unchanged"
"P28288","ABCD3","ATP-binding cassette sub-family D member 3",7.04142112458763e-12,-0.515649131969289,-0.155225855960851,3.6059818582305e-11,10.4429764625527,"Unchanged"
"P28289","TMOD1","Tropomodulin-1",0.561366866847618,-0.0519979973063593,-0.0156529569036691,0.623314047379629,0.205293085476503,"Unchanged"
"P28290","ITPRID2","Protein ITPRID2",0.0835707881743576,-0.187534671311185,-0.0564535612916521,0.116139807033437,0.9350188998834,"Unchanged"
"P28331","NDUFS1","NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial",2.5014723240335e-10,0.780721824267925,0.235020687374149,1.08512578537212e-09,8.9645199164452,"Unchanged"
"P28347","TEAD1","Transcriptional enhancer factor TEF-1",0.868800679236663,-0.0162262538318467,-0.00488458912064349,0.896906257597471,0.0472529459588206,"Unchanged"
