"PG.ProteinGroups","PG.Genes","PG.ProteinDescriptions","pValue","log2FC","log10FC","FDR","log10qValue","Expression"
"Q99627","COPS8","COP9 signalosome complex subunit 8",0.342277143170749,0.0585651678068979,0.0176298722109708,0.421457011053228,0.375246717159058,"Unchanged"
"Q99653","CHP1","Calcineurin B homologous protein 1",6.90578986949867e-14,0.656629947904384,0.197665310370497,2.01701735468027e-12,11.6952903650448,"Unchanged"
"Q99683","MAP3K5","Mitogen-activated protein kinase kinase kinase 5",0.108382991768525,-0.106836985107931,-0.0321611371637932,0.156293715954068,0.806058483153789,"Unchanged"
"Q99685-2","MGLL","Isoform 2 of Monoglyceride lipase",0.000154844744721698,0.339834888950035,0.102300495147099,0.000464669057625886,3.33285624628538,"Unchanged"
"Q99689","FEZ1","Fasciculation and elongation protein zeta-1",0.000371921945282231,-0.26912064833608,-0.0810133876016979,0.00102226897766311,2.9904348183448,"Unchanged"
"Q99700","ATXN2","Ataxin-2",0.0124800788355578,0.149803325195989,0.0450952943341984,0.0232563350671803,1.63345872406618,"Unchanged"
"Q99707","MTR","Methionine synthase",1.87348639081978e-05,-0.26935875982667,-0.0810850663026777,6.9541958491765e-05,4.15775308256002,"Unchanged"
"Q99714","HSD17B10","3-hydroxyacyl-CoA dehydrogenase type-2",3.1692086704441e-10,-0.580098709358033,-0.17462711196273,3.59890533202162e-09,8.44382957716519,"Unchanged"
"Q99715","COL12A1","Collagen alpha-1(XII) chain",0.121138329891719,-0.216458104126029,-0.0651603821464921,0.172664703875852,0.762796431851253,"Unchanged"
"Q99719","SEPTIN5","Septin-5",3.49866620298008e-12,0.870692005792186,0.262104410728285,6.68041721250463e-11,10.1751964136576,"Unchanged"
"Q99719-2","SEPTIN5","Isoform 2 of Septin-5",1.93667273421946e-05,0.850812267673961,0.256120013248754,7.13876211602927e-05,4.14637708973452,"Unchanged"
"Q99720","SIGMAR1","Sigma non-opioid intracellular receptor 1",0.0678873102078983,-0.153536624365051,-0.0462191293668736,0.103573977260523,0.984749346441971,"Unchanged"
"Q99726","SLC30A3","Probable proton-coupled zinc antiporter SLC30A3",7.45324482356477e-13,1.53467689677409,0.461983779581517,1.63615339391185e-11,10.7861759824455,"Upregulated"
"Q99729-2","HNRNPAB","Isoform 2 of Heterogeneous nuclear ribonucleoprotein A/B",8.82133753606236e-08,-0.932668607902469,-0.280761226992812,5.60387799908844e-07,6.25151132822199,"Unchanged"
"Q99733","NAP1L4","Nucleosome assembly protein 1-like 4",0.81811290409799,0.0100710441778791,0.0030316863851987,0.856748323584477,0.067146736689427,"Unchanged"
"Q99735","MGST2","Microsomal glutathione S-transferase 2",0.546712270082272,-0.114727317473512,-0.0345363638815915,0.620091679232437,0.207544096241637,"Unchanged"
"Q99747","NAPG","Gamma-soluble NSF attachment protein",7.38590337564724e-06,0.379950816196979,0.114376592552303,2.98773661786012e-05,4.52465769014031,"Unchanged"
"Q99755","PIP5K1A","Phosphatidylinositol 4-phosphate 5-kinase type-1 alpha",0.131882906969817,0.135181436480059,0.0406936672374428,0.186590492147568,0.72911048981271,"Unchanged"
"Q99757","TXN2","Thioredoxin, mitochondrial",0.0259614612853951,-0.225257814090194,-0.0678093587988491,0.0444823148496714,1.35181262025064,"Unchanged"
"Q99758","ABCA3","Phospholipid-transporting ATPase ABCA3",0.0196852589149149,-0.224753127674442,-0.0676574330493036,0.0349177791303418,1.45695338644727,"Unchanged"
"Q99766","DMAC2L","ATP synthase subunit s, mitochondrial",3.86637739525863e-06,-0.38165668439664,-0.11489011004905,1.67510618387918e-05,4.77595765811301,"Unchanged"
"Q99767","APBA2","Amyloid-beta A4 precursor protein-binding family A member 2",0.234890739229629,0.0864915426963462,0.0260365487228521,0.306415947295578,0.513688635768409,"Unchanged"
"Q99784","OLFM1","Noelin",5.12365922741678e-13,1.0661814246181,0.320952589629804,1.18913747658531e-11,10.924767933547,"Upregulated"
"Q99797","MIPEP","Mitochondrial intermediate peptidase",0.00157306229759253,-0.259173413307033,-0.0780189714840353,0.00370198648593558,2.43156517096786,"Unchanged"
"Q99798","ACO2","Aconitate hydratase, mitochondrial",0.00170444218171798,0.189115334261029,0.0569293882525899,0.00397184582778297,2.40100761753884,"Unchanged"
"Q99805","TM9SF2","Transmembrane 9 superfamily member 2",0.492124469496061,0.0724205647427825,0.0218007622905029,0.570468206398121,0.243768554875249,"Unchanged"
"Q99807","COQ7","5-demethoxyubiquinone hydroxylase, mitochondrial",0.370743633337748,-0.0638913239767209,-0.0192332049796783,0.450950390788265,0.345871232383573,"Unchanged"
"Q99816","TSG101","Tumor susceptibility gene 101 protein",8.40614121623865e-05,-0.22956483465926,-0.0691059011820795,0.000268879496072079,3.57044231448279,"Unchanged"
"Q99828","CIB1","Calcium and integrin-binding protein 1",0.307319314804049,-0.106239623434022,-0.0319813133816867,0.384735204675683,0.414838072344455,"Unchanged"
"Q99829","CPNE1","Copine-1",1.35423548781562e-06,-0.655354694220724,-0.197281420759634,6.52779385840077e-06,5.18523356864951,"Unchanged"
"Q99832","CCT7","T-complex protein 1 subunit eta",0.267296913279429,0.0468762434177332,0.014111155352784,0.341705790659329,0.466347661440967,"Unchanged"
"Q99836","MYD88","Myeloid differentiation primary response protein MyD88",0.0399191292037491,-0.195534402753923,-0.0588617204131726,0.065093854130157,1.18646001363393,"Unchanged"
"Q99848","EBNA1BP2","Probable rRNA-processing protein EBP2",0.00692734053678606,-0.248336625059952,-0.0747567731650052,0.0137576595291163,1.86145544255728,"Unchanged"
"Q99873","PRMT1","Protein arginine N-methyltransferase 1",0.503429197476883,-0.0495295113800696,-0.0149098685959815,0.58009653263259,0.236499730400414,"Unchanged"
"Q99884","SLC6A7","Sodium-dependent proline transporter",4.5507765914817e-05,0.407305023302537,0.12261102939868,0.000154524645542283,3.81100224394521,"Unchanged"
"Q99933","BAG1","BAG family molecular chaperone regulator 1",0.0122156399062058,-0.198699255084426,-0.0598144358965011,0.0228067188173014,1.64193719179665,"Unchanged"
"Q99943","AGPAT1","1-acyl-sn-glycerol-3-phosphate acyltransferase alpha",0.0664534477241291,0.190602265344284,0.0573769991101346,0.101588737006525,0.993154438971982,"Unchanged"
"Q99946","PRRT1","Proline-rich transmembrane protein 1",1.97364117933718e-10,1.1402372352572,0.343245609985384,2.37422489514331e-09,8.62447814549359,"Upregulated"
"Q99959","PKP2","Plakophilin-2",0.52150586549815,-0.116485353525782,-0.0350655854667834,0.596783001223405,0.224183555810211,"Unchanged"
"Q99961","SH3GL1","Endophilin-A2",0.327550731506889,0.053595626289912,0.0161338911496605,0.406007407350653,0.391466042919928,"Unchanged"
"Q99962","SH3GL2","Endophilin-A1",4.18706276115938e-07,0.732379319411118,0.220468143346718,2.28514834621311e-06,5.64108560134882,"Unchanged"
"Q99963","SH3GL3","Endophilin-A3",2.60299057361385e-06,0.788751732648043,0.237437930658998,1.17270679894904e-05,4.93081055695137,"Unchanged"
"Q99986","VRK1","Serine/threonine-protein kinase VRK1",0.418244610112753,-0.0906525805017795,-0.0272891459153794,0.499300328629582,0.301638148100774,"Unchanged"
