"","PG.ProteinGroups","20241217_HeLa1_shift","20241217_HeLa2_shift","20241217_HeLa3_shift","20241218_HeLa1_shift","20241219_HeLa1_shift","20241222_HeLa1_shift","20241222_HeLa2_shift"
"227","P61513",NA,1108.76525878906,1287.67211914062,1352.4619140625,1321.79760742188,NA,NA
"228","P62424",NA,1508.27270507812,1620.95983886719,979.253845214844,989.01708984375,1081.34362792969,1154.13232421875
"229","P62910",NA,1161.96801757812,1168.04406738281,1081.40905761719,1077.17041015625,NA,NA
"230","P63000;P63000-2",NA,1075.07995605469,937.97314453125,1045.13952636719,NA,NA,NA
"231","P83731",NA,968.327758789062,1217.87524414062,NA,NA,NA,NA
"232","Q13263",NA,914.624572753906,NA,NA,NA,NA,NA
"233","Q15181",NA,1220.90698242188,1523.84167480469,NA,NA,NA,NA
"234","Q16629;Q16629-2;Q16629-3;Q16629-4",NA,1115.23754882812,1113.15600585938,NA,NA,NA,NA
"235","Q16881;Q16881-2;Q16881-3;Q16881-4;Q16881-5;Q16881-6",NA,1007.14538574219,NA,NA,NA,NA,NA
"236","Q92522",NA,932.045471191406,NA,NA,NA,NA,NA
"237","Q92688;Q92688-2",NA,1011.478515625,1096.33203125,1028.31469726562,1134.75109863281,NA,NA
"238","Q96AE4;Q96AE4-2",NA,1068.55847167969,1106.76147460938,1263.98693847656,NA,NA,NA
"239","Q99729-2;Q99729-3",NA,1023.08221435547,NA,NA,NA,NA,NA
"240","Q99832",NA,997.067749023438,996.967529296875,NA,NA,NA,NA
"241","O00571",NA,NA,901.512756347656,NA,NA,NA,NA
"242","O14979",NA,NA,1090.62255859375,NA,NA,NA,NA
"243","O43175",NA,NA,1174.193359375,NA,NA,NA,NA
"244","O75390",NA,NA,953.853637695312,NA,NA,NA,NA
"245","O95394;O95394-3;O95394-4",NA,NA,2721.38745117188,3049.13330078125,NA,NA,1738.17175292969
"246","P00505",NA,NA,888.867492675781,NA,NA,NA,NA
"247","P11413;P11413-2",NA,NA,971.358642578125,978.448913574219,NA,NA,NA
"248","P12268",NA,NA,1138.75012207031,1328.49133300781,NA,NA,NA
"249","P13073",NA,NA,884.563842773438,1064.42517089844,NA,NA,NA
"250","P16949",NA,NA,939.637573242188,1081.30151367188,1054.64172363281,1047.662109375,NA
"251","P16989",NA,NA,931.031799316406,NA,NA,NA,NA
"252","P20618",NA,NA,886.353942871094,NA,NA,NA,NA
"253","P23246",NA,NA,1048.13696289062,994.676940917969,1096.9453125,NA,NA
"254","P23588",NA,NA,950.503479003906,NA,NA,NA,NA
"255","P25786;P25786-2",NA,NA,893.811950683594,1029.66723632812,1316.05615234375,NA,NA
"256","P25789",NA,NA,1084.68225097656,NA,NA,NA,NA
"257","P27348",NA,NA,882.470886230469,NA,NA,NA,NA
"258","P27695",NA,NA,925.1142578125,982.445617675781,NA,NA,NA
"259","P40925;P40925-3",NA,NA,1022.36676025391,NA,NA,NA,NA
"260","P42167",NA,NA,1014.03381347656,1133.16394042969,NA,NA,NA
"261","P56537",NA,NA,960.363098144531,NA,NA,NA,NA
"262","P62316",NA,NA,1063.74011230469,1029.66052246094,NA,NA,NA
"263","P69905",NA,NA,990.7890625,1109.20715332031,NA,NA,NA
"264","Q06323",NA,NA,1086.27404785156,NA,NA,NA,NA
"265","Q7L1Q6;Q7L1Q6-3;Q7L1Q6-4",NA,NA,985.808471679688,NA,NA,NA,NA
"266","Q93045-2",NA,NA,939.637573242188,1081.30114746094,NA,NA,NA
"267","Q96AG4",NA,NA,977.824462890625,NA,NA,NA,NA
"268","Q9BXS6;Q9BXS6-2",NA,NA,1269.36987304688,NA,NA,NA,NA
"269","Q9UMS4",NA,NA,1004.84088134766,1006.07427978516,NA,NA,NA
"270","P02768",NA,NA,NA,3173.11767578125,NA,NA,NA
"271","P04264",NA,NA,NA,5633.611328125,NA,NA,NA
"272","P05023;P05023-4",NA,NA,NA,2061.84838867188,NA,NA,NA
"273","P07196",NA,NA,NA,2809.56713867188,NA,NA,NA
"274","P07602",NA,NA,NA,990.617736816406,NA,NA,NA
"275","P22102",NA,NA,NA,1026.54467773438,NA,NA,NA
"276","P49327",NA,NA,NA,1109.11755371094,NA,NA,NA
"277","P83881",NA,NA,NA,1202.70947265625,NA,NA,NA
"278","Q08211",NA,NA,NA,1017.69940185547,NA,NA,NA
"279","P32320",NA,NA,NA,NA,982.302673339844,NA,NA
"280","Q9NWU5",NA,NA,NA,NA,997.95654296875,NA,NA
"281","Q15029;Q15029-2;Q15029-3",NA,NA,NA,NA,NA,2432.04174804688,NA
"282","P49368",NA,NA,NA,NA,NA,NA,1360.37585449219
